################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   7.2421640445265417E-04   8.4135735540898662E-02   3.2439812488968114E-02   6.3150296145503722E-03
         1          2   0.0000000000000000E+00   1.5485410450678452E-01   8.0002429137578958E-05   2.2142475365533321E-03
         1          3   6.3222866790738994E-03   2.0917136534186609E-01   1.5433855206797717E-01   9.3787547543218112E-03
         1          4   0.0000000000000000E+00   8.1139451194336808E-03   9.5347451964264273E-06   6.8637373571956437E-05
         1          5   0.0000000000000000E+00   2.1083174573925261E-02   1.7191945310171354E-04   6.7232908993518164E-04
         1          6   1.9283573597047778E-02   4.1830338886801299E-01   1.8647246621728442E-01   2.9736175074328908E-02
         1          7   0.0000000000000000E+00   5.7716886897193176E-01   8.4922302200138452E-04   1.2337272965349868E-02
         1          8   7.3260786382683962E-02   5.6354177603478495E-01   3.5638085569706734E-01   3.3400409844094564E-02
         1          9   0.0000000000000000E+00   6.4670939294240545E-02   2.5841167110072138E-04   1.0636685638782822E-03
         1         10   0.0000000000000000E+00   1.1825866811104732E-01   2.2073958686702690E-03   7.1066862098210582E-03
         1         11   1.6143570737543764E-01   1.1202064676810759E+00   5.1518967738059163E-01   1.0822745828746690E-01
         1         12   0.0000000000000000E+00   1.2956771096216004E+00   6.1846160139448006E-03   3.8844491333758474E-02
         1         13   2.3161440512650072E-01   8.4344177930662778E-01   3.8992311643833527E-01   8.1294103416817198E-02
         1         14   0.0000000000000000E+00   1.8962331528386817E-01   3.0181874200915582E-03   8.2968528038705365E-03
         1         15   0.0000000000000000E+00   2.4402568733101646E-01   1.1497374811751409E-02   3.0884135304610691E-02
         1         16   1.5376510254912962E-01   1.8386477530233964E+00   8.6402715037276079E-01   2.0752059882811472E-01
         1         17   0.0000000000000000E+00   1.4943991701782131E+00   2.8238011212188233E-02   1.0079865832114596E-01
         1         18   6.0498803778185756E-02   1.0523481888040129E+00   3.6018074716033693E-01   1.0367005000107377E-01
         1         19   0.0000000000000000E+00   3.1866006928864826E-01   1.5125375243479932E-02   3.1891933798991481E-02
         1         20   0.0000000000000000E+00   3.4657647376929529E-01   2.5985933840774078E-02   5.7192640961243955E-02
         1         21   4.1984292201117421E-02   2.0017403522699198E+00   1.0369363615394815E+00   2.4166476659814554E-01
         1         22   0.0000000000000000E+00   1.4162985046259386E+00   7.5307988876213053E-02   1.9853706708078692E-01
         1         23   6.6679136488979685E-03   1.0935935682371276E+00   4.5857523053660437E-01   1.2992490199945264E-01
         1         24   0.0000000000000000E+00   4.4152749410764464E-01   3.3097125353099541E-02   5.8074857632580953E-02
         1         25   0.0000000000000000E+00   3.9066141216772027E-01   3.0978724264536382E-02   5.2286336681426064E-02
         1         26   1.3558460281426619E-02   1.7778525601036799E+00   9.7348810343795433E-01   2.1817141962951406E-01
         1         27   0.0000000000000000E+00   1.0511533578411794E+00   1.1856306250044231E-01   2.6403941085007648E-01
         1         28   3.0835996665639943E-03   9.7357747898191827E-01   5.1705861727947355E-01   1.2138887831810921E-01
         1         29   0.0000000000000000E+00   3.4697310029412454E-01   3.3914165227226824E-02   5.1302055461709330E-02
         1         30   0.0000000000000000E+00   2.6421251069473478E-01   2.7469036263283800E-02   3.8521254818133226E-02
         1         31   2.3085880936346753E-02   1.2286886791530998E+00   7.2543524824864924E-01   1.5911373620900690E-01
         1         32   0.0000000000000000E+00   9.9967170323385413E-01   1.1544581942089127E-01   2.3481317792197401E-01
         1         33   5.9290719886773043E-03   6.9825549901781159E-01   3.8332543072547354E-01   8.8411525989441672E-02
         1         34   0.0000000000000000E+00   2.0912551387316991E-01   1.9967052381282560E-02   2.6527264307833406E-02
         1         35   0.0000000000000000E+00   1.9109347619725656E-01   2.0231971558694606E-02   2.6747154454125489E-02
         1         36   1.5208182285164904E-02   6.8447891953753104E-01   3.9779964646286092E-01   8.9630964379703443E-02
         1         37   0.0000000000000000E+00   5.9558036794508940E-01   7.2829420920578827E-02   1.3893614712883243E-01
         1         38   6.1151395998202303E-03   3.5095229728298516E-01   1.9659702911239432E-01   4.7940686044142963E-02
         1         39   0.0000000000000000E+00   1.0091451467579815E-01   9.5414138557318191E-03   1.2271586207180302E-02
         1         40   0.0000000000000000E+00   1.0613418331868386E-01   1.0871452159419620E-02   1.3618548334573152E-02
         1         41   3.7244021131589730E-03   2.5588965461945784E-01   1.5164200629333757E-01   3.5561841325336255E-02
         1         42   0.0000000000000000E+00   2.4563474221447432E-01   3.0081064203076515E-02   5.4555518400001550E-02
         1         43   5.5248563686154301E-04   1.4597230837702671E-01   7.3682055085823275E-02   1.9045593840053048E-02
         1         44   0.0000000000000000E+00   4.8324967386538985E-02   3.9377808172376041E-03   5.0233206257685138E-03
         1         45   0.0000000000000000E+00   3.6863622831612104E-02   4.0848099248609352E-03   5.0325750359716814E-03
         1         46   3.6933465581083307E-04   6.4569304841643235E-02   3.7531905040907559E-02   9.1858726193950642E-03
         1         47   0.0000000000000000E+00   5.5094330343398855E-02   7.7514378512731873E-03   1.3567655030710028E-02
         1         48   1.2377793832988839E-05   3.7267155750673173E-02   1.8562079300654240E-02   5.1098059921783007E-03
         1         49   0.0000000000000000E+00   1.0925414998555502E-02   1.0801343779808913E-03   1.3515379702770361E-03
         1         50   0.0000000000000000E+00   9.4141106491844838E-03   1.0147444249220831E-03   1.2632241175485036E-03
         1         51   5.0403086529937436E-06   8.8764311998078549E-02   2.0590416840160112E-02   8.3333973682659986E-03
         1         52   0.0000000000000000E+00   8.8725196561956779E-02   1.0132012954094866E-03   3.0905334078003359E-03
         1         53   3.9610805066650186E-03   1.4553713594700707E-01   3.9107055167670705E-02   1.3174243301068471E-02
         1         54   0.0000000000000000E+00   1.5748129610378556E-02   6.4833152331959971E-04   1.1773820612114056E-03
         1         55   0.0000000000000000E+00   2.0155238703515627E-02   1.0185939895013727E-03   2.1372531337773876E-03
         1         56   0.0000000000000000E+00   9.3520973156166934E-02   5.4853886262598236E-04   2.6546631160599787E-03
