################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.4549194842903035E-01 a         1     0     1     1     1
 -3.1638125499161346E-03 a         2     0     1     1     2
  3.1772994836110867E-02 a         3     0     1     1     3
  3.3308045499536178E-02 a         4     0     1     1     4
  1.0020966678234423E-01 a         5     0     1     1     5
 -8.5465066636448053E-02 a         6     0     1     1     6
  3.6307995009020155E-02 a         7     0     1     1     7
 -3.5518044137334573E-02 a         8     0     1     1     8
 -1.5413157813156958E-01 a         9     0     1     1     9
  5.5342218689025620E-02 a        10     0     1     1    10
  2.3223918648941435E-02 a        11     0     1     1    11
 -6.4935567354707305E-02 a        12     0     1     1    12
 -1.0337457708807786E-01 a        13     0     1     1    13
 -6.6100302981820777E-02 a        14     0     1     1    14
  1.6464961881935258E-01 a        15     0     1     1    15
 -8.0443287612924755E-02 a        16     0     1     1    16
 -1.4059183975105038E-01 a        17     0     1     1    17
 -1.5032626923680573E-01 a        18     0     1     1    18
  5.3896016334225409E-02 a        19     0     1     1    19
 -1.1351963205157381E-01 a        20     0     1     1    20
  1.1209069009918841E-01 a        21     0     2     1     1
  8.6964549343760758E-02 a        22     0     2     1     2
 -2.8122122064308575E-02 a        23     0     2     1     3
  2.5688909836529905E-03 a        24     0     2     1     4
 -1.3352899790339928E-01 a        25     0     2     1     5
 -1.4622532199322452E-01 a        26     0     2     1     6
  7.2315677306204432E-02 a        27     0     2     1     7
  5.8851999574887131E-03 a        28     0     2     1     8
  4.5064220498709166E-02 a        29     0     2     1     9
 -4.8437262417272267E-02 a        30     0     2     1    10
  8.2967644849184535E-02 a        31     0     2     1    11
  8.2429366906234355E-02 a        32     0     2     1    12
 -1.5321571042870327E-01 a        33     0     2     1    13
  2.5773978715315983E-02 a        34     0     2     1    14
  1.6556188482169033E-02 a        35     0     2     1    15
 -5.5179465854022766E-02 a        36     0     2     1    16
  8.5956327612150635E-02 a        37     0     2     1    17
  3.1382623815174690E-02 a        38     0     2     1    18
 -1.4949689760326101E-01 a        39     0     2     1    19
  7.7397883674033982E-02 a        40     0     2     1    20
  8.8843838118055948E-02 a        41     0     3     1     1
 -7.9886569383324051E-03 a        42     0     3     1     2
  1.8883786023180948E-01 a        43     0     3     1     3
 -1.8214005976571168E-01 a        44     0     3     1     4
  6.5910854752442655E-02 a        45     0     3     1     5
  7.7349715594514281E-03 a        46     0     3     1     6
  2.1385777763857357E-02 a        47     0     3     1     7
  5.5347067353387382E-02 a        48     0     3     1     8
  6.5339275488125487E-02 a        49     0     3     1     9
  9.8960106804859727E-02 a        50     0     3     1    10
  3.2214823324747115E-02 a        51     0     3     1    11
  7.5910713502471847E-02 a        52     0     3     1    12
 -1.4260560100458375E-01 a        53     0     3     1    13
  1.4397167961521232E-01 a        54     0     3     1    14
