################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.2773504151484888E-01 a         1     0     1     1     1
  1.6857706153790236E-01 a         2     0     1     1     2
  1.5011055109743060E-01 a         3     0     1     1     3
 -2.2724471537772715E-02 a         4     0     1     1     4
  1.5568366090607308E-01 a         5     0     1     1     5
 -2.4023412876505384E-01 a         6     0     1     1     6
  1.8436154627628332E-01 a         7     0     1     1     7
  3.9049680495394407E-01 a         8     0     1     1     8
  2.6539319424366969E-01 a         9     0     1     1     9
  8.6622730883084631E-01 a        10     0     1     1    10
  9.0916978356546330E-02 a        11     0     1     1    11
 -6.1591482124656392E-02 a        12     0     1     1    12
 -3.1968578279221493E-01 a        13     0     1     1    13
 -5.5764167755909776E-02 a        14     0     1     1    14
 -1.1066886171417179E-02 a        15     0     1     1    15
  3.2809064691198930E-01 a        16     0     1     1    16
  3.8653649500777798E-01 a        17     0     1     1    17
 -2.9571192393713536E-01 a        18     0     1     1    18
 -7.0430172408714811E-02 a        19     0     1     1    19
  5.2230979099129482E-01 a        20     0     1     1    20
  2.3630163497659265E-01 a        21     0     2     1     1
  8.5566963150525546E-02 a        22     0     2     1     2
 -7.8817739080779339E-02 a        23     0     2     1     3
 -2.2456217173235593E-01 a        24     0     2     1     4
 -1.9229758433323443E-01 a        25     0     2     1     5
 -9.4601936653495672E-02 a        26     0     2     1     6
 -2.8769969471385465E-01 a        27     0     2     1     7
 -2.5619324541995010E-02 a        28     0     2     1     8
  1.8762357199303473E-01 a        29     0     2     1     9
 -6.2498181437769730E-02 a        30     0     2     1    10
  1.3110576256947065E-01 a        31     0     2     1    11
  3.0382082835559188E-01 a        32     0     2     1    12
 -2.1300436736964412E-01 a        33     0     2     1    13
  6.9740844611832914E-02 a        34     0     2     1    14
 -3.8268521851956970E-02 a        35     0     2     1    15
 -7.5860249022178639E-02 a        36     0     2     1    16
 -2.8859731423034749E-02 a        37     0     2     1    17
